지역,학교명,학급수,학생수,교사수
서울특별시 서초구,서울교육대학교부설초등학교,28,616,32
서울특별시 종로구,서울대학교사범대학부설초등학교,31,632,35
서울특별시 강남구,서울개일초등학교,31,837,38
서울특별시 강남구,서울구룡초등학교,25,492,30
서울특별시 강남구,서울논현초등학교,19,339,22
서울특별시 강남구,서울대곡초등학교,44,1226,54
서울특별시 강남구,서울대도초등학교,62,2157,73
서울특별시 강남구,서울대모초등학교,32,1084,43
서울특별시 강남구,서울대왕초등학교,39,904,48
서울특별시 강남구,서울대진초등학교,17,316,23
서울특별시 강남구,서울대청초등학교,13,150,17
서울특별시 강남구,서울대치초등학교,46,1567,60
서울특별시 강남구,서울대현초등학교,30,675,35
서울특별시 강남구,서울도곡초등학교,38,882,49
서울특별시 강남구,서울도성초등학교,56,1740,68
서울특별시 서초구,서울반원초등학교,50,1373,59
서울특별시 서초구,서울반포초등학교,38,848,45
서울특별시 서초구,서울방배초등학교,42,952,48
서울특별시 서초구,서울방일초등학교,34,883,39
서울특별시 서초구,서울방현초등학교,16,332,19
서울특별시 강남구,서울봉은초등학교,25,585,30
서울특별시 강남구,서울삼릉초등학교,23,550,27
서울특별시 서초구,서울서래초등학교,47,1378,58
서울특별시 서초구,서울서원초등학교,40,1206,47
서울특별시 서초구,서울서이초등학교,44,1005,51
서울특별시 서초구,서울서일초등학교,24,547,27
서울특별시 서초구,서울서초초등학교,35,1004,40
서울특별시 강남구,서울수서초등학교,13,188,19
서울특별시 강남구,서울신구초등학교,25,538,30
서울특별시 서초구,서울신동초등학교,49,1503,61
서울특별시 서초구,서울신중초등학교,37,903,43
서울특별시 강남구,서울압구정초등학교,37,1066,43
서울특별시 서초구,서울양재초등학교,26,611,31
서울특별시 강남구,서울양전초등학교,25,455,31
서울특별시 서초구,서울언남초등학교,47,1071,55
서울특별시 강남구,서울언북초등학교,60,1882,74
서울특별시 강남구,서울언주초등학교,53,1558,62
서울특별시 강남구,서울역삼초등학교,19,338,22
서울특별시 강남구,서울영희초등학교,19,345,23
서울특별시 강남구,서울왕북초등학교,32,839,41
서울특별시 서초구,서울우암초등학교,19,370,24
서울특별시 서초구,서울원명초등학교,43,1347,52
서울특별시 서초구,서울원촌초등학교,44,1296,51
서울특별시 서초구,서울이수초등학교,30,610,36
서울특별시 강남구,서울일원초등학교,24,520,29
서울특별시 서초구,서울잠원초등학교,60,1591,72
서울특별시 강남구,서울청담초등학교,24,510,29
서울특별시 강남구,서울포이초등학교,20,434,25
서울특별시 강남구,서울학동초등학교,21,485,25
서울특별시 송파구,서울가동초등학교,41,947,48
서울특별시 송파구,서울가락초등학교,55,812,62
서울특별시 송파구,서울가원초등학교,30,630,35
서울특별시 송파구,서울가주초등학교,41,920,48
서울특별시 강동구,서울강동초등학교,32,671,38
서울특별시 강동구,서울강일초등학교,52,1085,63
서울특별시 송파구,서울거여초등학교,32,618,38
서울특별시 송파구,서울거원초등학교,35,670,42
서울특별시 강동구,서울고덕초등학교,23,213,25
서울특별시 강동구,서울고명초등학교,30,552,35
서울특별시 강동구,서울길동초등학교,42,911,52
서울특별시 송파구,서울남천초등학교,26,518,31
서울특별시 강동구,서울대명초등학교,42,960,49
서울특별시 송파구,서울마천초등학교,45,995,59
서울특별시 강동구,서울명덕초등학교,54,1764,63
서울특별시 강동구,서울명원초등학교,31,859,39
서울특별시 강동구,서울명일초등학교,50,1108,59
서울특별시 강동구,서울묘곡초등학교,62,1583,76
서울특별시 송파구,서울문덕초등학교,30,616,34
서울특별시 송파구,서울문정초등학교,43,878,49
서울특별시 송파구,서울방산초등학교,31,665,37
서울특별시 송파구,서울방이초등학교,31,608,36
서울특별시 송파구,서울삼전초등학교,44,904,50
서울특별시 강동구,서울상일초등학교,16,279,19
서울특별시 송파구,서울석촌초등학교,40,897,49
서울특별시 강동구,서울선린초등학교,25,525,29
서울특별시 강동구,서울선사초등학교,41,860,48
서울특별시 강동구,서울성내초등학교,46,960,51
서울특별시 강동구,서울성일초등학교,55,1282,63
서울특별시 송파구,서울세륜초등학교,30,688,36
서울특별시 송파구,서울송전초등학교,32,878,38
서울특별시 송파구,서울송파초등학교,33,686,41
서울특별시 송파구,서울신가초등학교,34,719,38
서울특별시 강동구,서울신명초등학교,27,534,32
서울특별시 강동구,서울신암초등학교,36,781,41
서울특별시 송파구,서울신천초등학교,27,457,33
서울특별시 송파구,서울아주초등학교,26,519,31
서울특별시 송파구,서울영풍초등학교,32,599,40
서울특별시 송파구,서울오금초등학교,26,591,30
서울특별시 송파구,서울오륜초등학교,27,674,34
서울특별시 송파구,서울잠동초등학교,32,756,39
서울특별시 송파구,서울잠신초등학교,52,1681,60
서울특별시 송파구,서울잠실초등학교,42,1227,50
서울특별시 송파구,서울잠일초등학교,58,1912,69
서울특별시 송파구,서울잠전초등학교,30,685,35
서울특별시 송파구,서울중대초등학교,44,1025,52
서울특별시 강동구,서울천동초등학교,40,879,46
서울특별시 강동구,서울천일초등학교,20,362,23
서울특별시 강동구,서울천호초등학교,39,743,46
서울특별시 송파구,서울토성초등학교,39,869,46
서울특별시 송파구,서울평화초등학교,16,224,20
서울특별시 송파구,서울풍납초등학교,30,531,35
서울특별시 송파구,서울풍성초등학교,19,242,22
서울특별시 강동구,서울한산초등학교,38,852,45
서울특별시 강서구,서울가곡초등학교,30,879,36
서울특별시 강서구,서울가양초등학교,19,235,23
서울특별시 양천구,서울갈산초등학교,40,1041,48
서울특별시 양천구,서울강서초등학교,50,1243,59
서울특별시 양천구,서울강신초등학교,39,932,47
서울특별시 양천구,서울강월초등학교,36,781,45
서울특별시 강서구,서울개화초등학교,12,140,15
서울특별시 양천구,서울경인초등학교,36,1177,44
서울특별시 양천구,서울계남초등학교,38,869,46
서울특별시 강서구,서울공진초등학교,54,1450,63
서울특별시 강서구,서울공항초등학교,57,1451,68
서울특별시 양천구,서울남명초등학교,15,236,20
서울특별시 강서구,서울내발산초등학교,51,1587,62
서울특별시 강서구,서울등명초등학교,10,104,14
서울특별시 강서구,서울등서초등학교,21,334,26
서울특별시 강서구,서울등양초등학교,13,176,16
서울특별시 강서구,서울등원초등학교,13,171,18
서울특별시 강서구,서울등촌초등학교,27,547,34
서울특별시 강서구,서울등현초등학교,30,681,34
서울특별시 양천구,서울목동초등학교,51,1378,61
서울특별시 양천구,서울목원초등학교,24,543,31
서울특별시 강서구,서울발산초등학교,49,1235,57
서울특별시 강서구,서울방화초등학교,29,622,33
서울특별시 강서구,서울백석초등학교,29,534,34
서울특별시 강서구,서울삼정초등학교,15,252,20
서울특별시 양천구,서울서정초등학교,32,766,39
서울특별시 강서구,서울송정초등학교,36,723,43
서울특별시 강서구,서울송화초등학교,53,1319,62
서울특별시 양천구,서울신강초등학교,27,537,33
서울특별시 강서구,서울신곡초등학교,38,790,47
서울특별시 양천구,서울신남초등학교,18,276,24
서울특별시 양천구,서울신목초등학교,40,1029,45
서울특별시 양천구,서울신서초등학교,43,1149,53
서울특별시 양천구,서울신원초등학교,24,480,28
서울특별시 강서구,서울신월초등학교,33,694,38
서울특별시 강서구,서울신정초등학교,75,1773,91
서울특별시 양천구,서울양강초등학교,30,657,36
서울특별시 양천구,서울양동초등학교,23,439,29
서울특별시 양천구,서울양명초등학교,23,522,27
서울특별시 양천구,서울양목초등학교,40,855,49
서울특별시 양천구,서울양원초등학교,18,294,22
서울특별시 강서구,서울양천초등학교,24,493,28
서울특별시 양천구,서울양화초등학교,37,734,46
서울특별시 강서구,서울염강초등학교,12,157,15
서울특별시 강서구,서울염동초등학교,39,1039,47
서울특별시 강서구,서울염창초등학교,40,884,45
서울특별시 양천구,서울영도초등학교,46,1205,54
서울특별시 강서구,서울우장초등학교,39,958,45
서울특별시 강서구,서울월정초등학교,48,1109,58
서울특별시 양천구,서울월촌초등학교,44,1192,52
서울특별시 양천구,서울은정초등학교,19,324,24
서울특별시 강서구,서울정곡초등학교,18,260,24
서울특별시 양천구,서울정목초등학교,50,1184,60
서울특별시 양천구,서울지향초등학교,34,737,39
서울특별시 강서구,서울치현초등학교,36,744,42
서울특별시 강서구,서울탑산초등학교,32,533,40
서울특별시 강서구,서울화곡초등학교,44,1043,55
서울특별시 강서구,유석초등학교,11,300,11
서울특별시 금천구,동광초등학교,18,384,35
서울특별시 금천구,서울가산초등학교,19,333,25
서울특별시 구로구,서울개명초등학교,24,458,29
서울특별시 구로구,서울개봉초등학교,53,1247,65
서울특별시 구로구,서울개웅초등학교,30,612,38
서울특별시 구로구,서울고산초등학교,23,500,27
서울특별시 구로구,서울고척초등학교,22,436,26
서울특별시 구로구,서울구로남초등학교,33,567,40
서울특별시 구로구,서울구로초등학교,32,567,39
서울특별시 구로구,서울구일초등학교,54,1282,64
서울특별시 금천구,서울금산초등학교,17,342,21
서울특별시 금천구,서울금천초등학교,13,177,16
서울특별시 영등포구,서울당산초등학교,23,412,28
서울특별시 영등포구,서울당서초등학교,49,1247,60
서울특별시 영등포구,서울당중초등학교,27,572,30
서울특별시 영등포구,서울대길초등학교,30,601,34
서울특별시 영등포구,서울대동초등학교,29,445,33
서울특별시 영등포구,서울대방초등학교,26,516,30
서울특별시 영등포구,서울대영초등학교,34,656,41
서울특별시 구로구,서울덕의초등학교,40,1172,47
서울특별시 영등포구,서울도림초등학교,27,536,31
서울특별시 영등포구,서울도신초등학교,25,413,30
서울특별시 금천구,서울독산초등학교,35,665,42
서울특별시 구로구,서울동구로초등학교,27,439,36
서울특별시 금천구,서울두산초등학교,29,558,33
서울특별시 구로구,서울매봉초등학교,18,326,21
서울특별시 금천구,서울문교초등학교,18,309,22
서울특별시 영등포구,서울문래초등학교,43,1243,50
서울특별시 금천구,서울문백초등학교,36,730,42
서울특별시 금천구,서울문성초등학교,26,432,31
서울특별시 구로구,서울미래초등학교,27,604,32
서울특별시 금천구,서울백산초등학교,19,342,26
서울특별시 구로구,서울세곡초등학교,30,623,36
서울특별시 금천구,서울시흥초등학교,32,628,38
서울특별시 구로구,서울신구로초등학교,27,496,31
서울특별시 영등포구,서울신대림초등학교,18,283,22
서울특별시 구로구,서울신도림초등학교,45,1262,56
서울특별시 구로구,서울신미림초등학교,38,966,46
서울특별시 영등포구,서울신영초등학교,32,591,38
서울특별시 금천구,서울신흥초등학교,32,687,38
서울특별시 금천구,서울안천초등학교,17,286,22
서울특별시 영등포구,서울여의도초등학교,43,1074,51
서울특별시 금천구,서울영남초등학교,19,346,24
서울특별시 영등포구,서울영동초등학교,22,430,26
서울특별시 영등포구,서울영등포초등학교,19,301,22
서울특별시 영등포구,서울영림초등학교,14,226,18
서울특별시 구로구,서울영서초등학교,38,898,44
서울특별시 영등포구,서울영신초등학교,45,999,51
서울특별시 영등포구,서울영원초등학교,31,626,37
서울특별시 구로구,서울영일초등학교,23,353,28
서울특별시 영등포구,서울영중초등학교,24,446,26
서울특별시 구로구,서울오류남초등학교,38,814,47
서울특별시 구로구,서울오류초등학교,35,772,40
서울특별시 구로구,서울오정초등학교,22,446,28
서울특별시 구로구,서울온수초등학교,44,1030,55
서울특별시 영등포구,서울우신초등학교,21,358,26
서울특별시 영등포구,서울윤중초등학교,21,492,27
서울특별시 금천구,서울정심초등학교,22,364,28
서울특별시 금천구,서울탑동초등학교,27,539,32
서울특별시 동대문구,경희초등학교,24,586,24
서울특별시 중랑구,금성초등학교,22,598,29
서울특별시 동대문구,서울삼육초등학교,23,664,23
서울특별시 동대문구,서울군자초등학교,18,311,22
서울특별시 동대문구,서울답십리초등학교,46,981,56
서울특별시 동대문구,서울동답초등학교,23,508,30
서울특별시 중랑구,서울동원초등학교,21,415,25
서울특별시 중랑구,서울망우초등학교,24,423,30
서울특별시 중랑구,서울면남초등학교,20,378,22
서울특별시 중랑구,서울면동초등학교,46,975,59
서울특별시 중랑구,서울면목초등학교,38,780,45
서울특별시 중랑구,서울면북초등학교,12,167,17
서울특별시 중랑구,서울면일초등학교,36,778,45
서울특별시 중랑구,서울면중초등학교,19,266,24
서울특별시 중랑구,서울묵동초등학교,24,485,29
서울특별시 동대문구,서울배봉초등학교,25,506,30
서울특별시 중랑구,서울봉화초등학교,30,632,38
서울특별시 중랑구,서울상봉초등학교,32,663,38
서울특별시 중랑구,서울신내초등학교,38,956,46
서울특별시 동대문구,서울신답초등학교,25,477,31
서울특별시 중랑구,서울신묵초등학교,23,447,28
서울특별시 중랑구,서울신현초등학교,26,530,33
서울특별시 동대문구,서울안평초등학교,44,1098,52
서울특별시 동대문구,서울용두초등학교,22,431,29
서울특별시 중랑구,서울원묵초등학교,45,1135,53
서울특별시 동대문구,서울이문초등학교,42,922,49
서울특별시 동대문구,서울장평초등학교,41,1111,51
서울특별시 동대문구,서울전곡초등학교,23,466,27
서울특별시 동대문구,서울전농초등학교,39,901,46
서울특별시 동대문구,서울전동초등학교,36,820,42
서울특별시 동대문구,서울종암초등학교,28,573,35
서울특별시 중랑구,서울중곡초등학교,46,982,58
서울특별시 중랑구,서울중랑초등학교,36,763,44
서울특별시 중랑구,서울중목초등학교,21,406,26
서울특별시 중랑구,서울중화초등학교,54,1487,65
서울특별시 중랑구,서울중흥초등학교,14,245,17
서울특별시 동대문구,서울청량초등학교,40,800,48
서울특별시 동대문구,서울홍릉초등학교,22,446,27
서울특별시 동대문구,서울홍파초등학교,18,298,23
서울특별시 동대문구,서울휘경초등학교,20,361,24
서울특별시 동대문구,은석초등학교,23,658,63
서울특별시 동작구,서울강남초등학교,40,887,48
서울특별시 관악구,서울관악초등학교,29,505,35
서울특별시 관악구,서울구암초등학교,59,1723,74
서울특별시 관악구,서울난곡초등학교,24,428,30
서울특별시 관악구,서울난우초등학교,40,900,49
서울특별시 관악구,서울난향초등학교,41,913,48
서울특별시 관악구,서울남부초등학교,27,528,34
서울특별시 동작구,서울남사초등학교,27,587,34
서울특별시 동작구,서울남성초등학교,30,675,36
서울특별시 동작구,서울노량진초등학교,19,310,24
서울특별시 관악구,서울당곡초등학교,36,731,44
서울특별시 동작구,서울대림초등학교,47,1169,54
서울특별시 동작구,서울동작초등학교,20,430,25
서울특별시 동작구,서울문창초등학교,29,541,35
서울특별시 관악구,서울미성초등학교,38,835,44
서울특별시 동작구,서울본동초등학교,10,102,14
서울특별시 관악구,서울봉천초등학교,37,840,47
서울특별시 관악구,서울사당초등학교,33,669,42
서울특별시 관악구,서울삼성초등학교,21,424,30
서울특별시 동작구,서울상도초등학교,45,1019,57
서울특별시 동작구,서울신길초등학교,47,1268,58
서울특별시 동작구,서울신남성초등학교,25,536,29
서울특별시 관악구,서울신림초등학교,32,677,42
서울특별시 관악구,서울신봉초등학교,20,331,24
서울특별시 동작구,서울신상도초등학교,53,1403,65
서울특별시 관악구,서울신성초등학교,31,645,35
서울특별시 관악구,서울신우초등학교,20,398,26
서울특별시 동작구,서울영본초등학교,38,987,46
서울특별시 동작구,서울영화초등학교,24,487,30
서울특별시 관악구,서울원당초등학교,15,243,22
서울특별시 관악구,서울원신초등학교,15,253,22
서울특별시 동작구,서울은로초등학교,30,637,33
서울특별시 관악구,서울은천초등학교,51,1137,63
서울특별시 관악구,서울인헌초등학교,51,1127,62
서울특별시 관악구,서울청룡초등학교,22,472,27
서울특별시 동작구,서울행림초등학교,16,280,20
서울특별시 동작구,서울흑석초등학교,30,595,36
서울특별시 동작구,중앙대학교사범대학부속초등학교,30,722,31
서울특별시 도봉구,동북초등학교,24,694,44
서울특별시 노원구,상명초등학교,24,656,24
서울특별시 노원구,서울계상초등학교,32,622,39
서울특별시 노원구,서울공릉초등학교,18,369,22
서울특별시 노원구,서울공연초등학교,27,574,29
서울특별시 노원구,서울노원초등학교,18,327,22
서울특별시 노원구,서울노일초등학교,23,529,27
서울특별시 노원구,서울녹천초등학교,19,369,24
서울특별시 도봉구,서울누원초등학교,43,1019,50
서울특별시 노원구,서울당현초등학교,33,653,38
서울특별시 도봉구,서울도봉초등학교,25,496,31
서울특별시 노원구,서울동일초등학교,30,724,36
서울특별시 도봉구,서울방학초등학교,31,677,37
서울특별시 도봉구,서울백운초등학교,43,916,53
서울특별시 노원구,서울불암초등학교,43,1020,50
서울특별시 노원구,서울상경초등학교,35,765,42
서울특별시 노원구,서울상계초등학교,20,322,24
서울특별시 노원구,서울상곡초등학교,23,455,27
서울특별시 노원구,서울상수초등학교,39,863,48
서울특별시 노원구,서울상원초등학교,28,566,35
서울특별시 노원구,서울상월초등학교,15,203,19
서울특별시 노원구,서울상천초등학교,19,370,24
서울특별시 노원구,서울선곡초등학교,39,804,47
서울특별시 노원구,서울수락초등학교,31,638,35
서울특별시 노원구,서울수암초등학교,27,617,32
서울특별시 도봉구,서울숭미초등학교,38,812,46
서울특별시 노원구,서울신계초등학교,21,392,26
서울특별시 도봉구,서울신방학초등학교,20,417,25
서울특별시 노원구,서울신상계초등학교,22,385,27
서울특별시 도봉구,서울신창초등학교,18,338,22
서울특별시 도봉구,서울신학초등학교,25,481,29
서울특별시 도봉구,서울신화초등학교,25,484,28
서울특별시 도봉구,서울쌍문초등학교,33,690,41
서울특별시 노원구,서울연지초등학교,18,264,22
서울특별시 노원구,서울연촌초등학교,32,679,37
서울특별시 도봉구,서울오봉초등학교,20,384,27
서울특별시 노원구,서울온곡초등학교,31,707,38
서울특별시 노원구,서울용동초등학교,21,409,27
서울특별시 노원구,서울용원초등학교,34,743,43
서울특별시 노원구,서울원광초등학교,31,769,38
서울특별시 노원구,서울월계초등학교,17,295,20
서울특별시 도봉구,서울월천초등학교,24,443,28
서울특별시 노원구,서울을지초등학교,57,1688,71
서울특별시 도봉구,서울자운초등학교,39,886,47
서울특별시 노원구,서울중계초등학교,38,950,44
서울특별시 노원구,서울중원초등학교,26,553,32
서울특별시 노원구,서울중평초등학교,60,1609,72
서울특별시 노원구,서울중현초등학교,16,228,21
서울특별시 도봉구,서울창경초등학교,43,991,50
서울특별시 도봉구,서울창도초등학교,40,940,48
서울특별시 도봉구,서울창동초등학교,20,425,24
서울특별시 도봉구,서울창림초등학교,45,1061,55
서울특별시 도봉구,서울창원초등학교,21,400,24
서울특별시 도봉구,서울창일초등학교,40,975,47
서울특별시 노원구,서울청계초등학교,21,390,25
서울특별시 도봉구,서울초당초등학교,43,1000,51
서울특별시 노원구,서울태랑초등학교,39,984,47
서울특별시 노원구,서울태릉초등학교,43,880,50
서울특별시 노원구,서울한천초등학교,43,915,51
서울특별시 노원구,청원초등학교,24,665,38
서울특별시 노원구,태강삼육초등학교,24,764,24
서울특별시 도봉구,한신초등학교,22,529,22
서울특별시 노원구,화랑초등학교,24,685,23
서울특별시 서대문구,경기초등학교,24,569,24
서울특별시 서대문구,명지초등학교,29,678,31
서울특별시 은평구,서울갈현초등학교,55,1331,66
서울특별시 서대문구,서울고은초등학교,27,547,32
서울특별시 마포구,서울공덕초등학교,31,702,36
서울특별시 은평구,서울구산초등학교,45,1071,54
서울특별시 서대문구,서울금화초등학교,30,600,36
서울특별시 은평구,서울녹번초등학교,39,888,47
서울특별시 서대문구,서울대신초등학교,13,192,15
서울특별시 은평구,서울대은초등학교,18,341,25
서울특별시 은평구,서울대조초등학교,42,981,50
서울특별시 마포구,서울동교초등학교,42,1009,51
서울특별시 마포구,서울마포초등학교,36,830,41
서울특별시 마포구,서울망원초등학교,17,324,22
서울특별시 서대문구,서울미동초등학교,21,437,28
서울특별시 서대문구,서울북가좌초등학교,54,1305,68
서울특별시 서대문구,서울북성초등학교,33,679,39
서울특별시 은평구,서울북한산초등학교,9,139,12
서울특별시 은평구,서울불광초등학교,38,844,46
서울특별시 은평구,서울상신초등학교,30,655,36
서울특별시 마포구,서울상암초등학교,30,667,38
서울특별시 마포구,서울서강초등학교,43,1012,51
서울특별시 마포구,서울서교초등학교,28,641,35
서울특별시 마포구,서울성산초등학교,36,803,45
서울특별시 마포구,서울성서초등학교,31,688,42
서울특별시 마포구,서울성원초등학교,24,540,31
서울특별시 마포구,서울소의초등학교,23,491,28
서울특별시 은평구,서울수색초등학교,14,193,18
서울특별시 은평구,서울신도초등학교,47,1382,57
서울특별시 마포구,서울신북초등학교,40,940,48
서울특별시 은평구,서울신사초등학교,22,465,27
서울특별시 마포구,서울신석초등학교,38,822,46
서울특별시 마포구,서울아현초등학교,26,539,30
서울특별시 서대문구,서울안산초등학교,32,719,40
서울특별시 은평구,서울역촌초등학교,69,1795,83
서울특별시 서대문구,서울연가초등학교,52,1252,69
서울특별시 은평구,서울연신초등학교,17,324,20
서울특별시 은평구,서울연은초등학교,30,708,38
서울특별시 은평구,서울연천초등학교,17,334,20
서울특별시 서대문구,서울연희초등학교,36,846,46
서울특별시 마포구,서울염리초등학교,52,1413,62
서울특별시 마포구,서울용강초등학교,24,475,28
서울특별시 은평구,서울은평초등학교,27,565,33
서울특별시 은평구,서울응암초등학교,36,783,42
서울특별시 서대문구,서울인왕초등학교,22,475,27
서울특별시 마포구,서울중동초등학교,27,577,33
서울특별시 은평구,서울증산초등학교,31,676,37
서울특별시 서대문구,서울창서초등학교,14,182,16
서울특별시 마포구,서울창천초등학교,9,129,12
서울특별시 마포구,서울한서초등학교,18,346,22
서울특별시 서대문구,서울홍연초등학교,37,795,44
서울특별시 서대문구,서울홍은초등학교,19,370,24
서울특별시 서대문구,서울홍제초등학교,38,859,44
서울특별시 은평구,선일초등학교,18,432,18
서울특별시 은평구,예일초등학교,23,501,34
서울특별시 서대문구,이화여자대학교사범대학부속초등학교,24,624,41
서울특별시 서대문구,추계초등학교,12,317,22
서울특별시 은평구,충암초등학교,25,603,25
서울특별시 마포구,홍익대학교사범대학부속초등학교,18,454,35
서울특별시 광진구,경복초등학교,30,818,31
서울특별시 성동구,서울경동초등학교,47,1072,57
서울특별시 성동구,서울경수초등학교,18,281,23
서울특별시 성동구,서울경일초등학교,20,357,27
서울특별시 광진구,서울광남초등학교,50,1520,67
서울특별시 광진구,서울광장초등학교,19,330,24
서울특별시 광진구,서울구남초등학교,35,841,41
서울특별시 광진구,서울구의초등학교,26,543,31
서울특별시 성동구,서울금북초등학교,39,827,47
서울특별시 성동구,서울금옥초등학교,20,342,25
서울특별시 성동구,서울금호초등학교,32,600,39
서울특별시 성동구,서울동명초등학교,19,345,24
서울특별시 광진구,서울동의초등학교,38,833,47
서울특별시 광진구,서울동자초등학교,53,1267,63
서울특별시 성동구,서울무학초등학교,28,501,34
서울특별시 성동구,서울사근초등학교,13,199,16
서울특별시 성동구,서울성수초등학교,18,310,22
서울특별시 광진구,서울성자초등학교,29,658,36
서울특별시 광진구,서울신양초등학교,30,578,37
서울특별시 광진구,서울신자초등학교,22,376,27
서울특별시 광진구,서울양남초등학교,13,166,18
서울특별시 성동구,서울옥수초등학교,29,540,37
서울특별시 성동구,서울옥정초등학교,37,852,43
서울특별시 광진구,서울용곡초등학교,27,524,32
서울특별시 성동구,서울용답초등학교,18,310,24
서울특별시 광진구,서울용마초등학교,54,1277,69
서울특별시 성동구,서울응봉초등학교,38,944,46
서울특별시 광진구,서울자양초등학교,24,473,30
서울특별시 광진구,서울장안초등학교,28,574,36
서울특별시 광진구,서울중광초등학교,14,266,18
서울특별시 광진구,서울중마초등학교,26,551,33
서울특별시 성동구,서울행당초등학교,36,724,44
서울특별시 광진구,서울화양초등학교,10,143,13
서울특별시 광진구,성동초등학교,24,654,24
서울특별시 광진구,세종초등학교,12,359,15
서울특별시 성동구,한양초등학교,24,611,25
서울특별시 성북구,광운초등학교,21,587,22
서울특별시 성북구,대광초등학교,18,473,21
서울특별시 성북구,매원초등학교,18,480,35
서울특별시 성북구,서울개운초등학교,39,890,47
서울특별시 성북구,서울길음초등학교,49,1391,59
서울특별시 성북구,서울돈암초등학교,50,1133,60
서울특별시 성북구,서울동신초등학교,21,425,25
서울특별시 성북구,서울미아초등학교,49,1249,58
서울특별시 강북구,서울미양초등학교,28,557,31
서울특별시 강북구,서울번동초등학교,34,747,42
서울특별시 강북구,서울삼각산초등학교,46,1226,56
서울특별시 성북구,서울삼선초등학교,35,777,44
서울특별시 강북구,서울삼양초등학교,29,579,36
서울특별시 성북구,서울석관초등학교,31,684,40
서울특별시 성북구,서울성북초등학교,16,303,20
서울특별시 강북구,서울송중초등학교,33,698,39
서울특별시 강북구,서울송천초등학교,25,545,30
서울특별시 강북구,서울수송초등학교,38,823,45
서울특별시 강북구,서울수유초등학교,36,770,43
서울특별시 성북구,서울숭곡초등학교,24,466,30
서울특별시 성북구,서울숭덕초등학교,54,1298,65
서울특별시 성북구,서울숭례초등학교,36,805,44
서울특별시 성북구,서울숭인초등학교,53,1396,64
서울특별시 성북구,서울안암초등학교,17,268,21
서울특별시 강북구,서울오현초등학교,22,414,27
서울특별시 강북구,서울우이초등학교,52,1227,67
서울특별시 성북구,서울월곡초등학교,25,456,29
서울특별시 강북구,서울유현초등학교,20,422,24
서울특별시 강북구,서울인수초등학교,37,834,46
서울특별시 성북구,서울일신초등학교,33,831,39
서울특별시 성북구,서울장곡초등학교,22,469,27
서울특별시 성북구,서울장위초등학교,33,659,39
서울특별시 성북구,서울정덕초등학교,47,1167,57
서울특별시 성북구,서울정릉초등학교,36,827,41
서울특별시 성북구,서울정수초등학교,16,291,22
서울특별시 성북구,서울청덕초등학교,21,454,26
서울특별시 강북구,서울화계초등학교,37,866,43
서울특별시 성북구,성신초등학교,18,445,26
서울특별시 강북구,영훈초등학교,24,684,40
서울특별시 성북구,우촌초등학교,21,519,21
서울특별시 서초구,계성초등학교,24,720,35
서울특별시 중구,동산초등학교,18,531,18
서울특별시 중구,리라초등학교,20,518,20
서울특별시 종로구,상명대학교사범대학부속초등학교,12,293,20
서울특별시 중구,서울광희초등학교,19,296,25
서울특별시 종로구,서울교동초등학교,11,172,14
서울특별시 용산구,서울금양초등학교,36,738,42
서울특별시 중구,서울남산초등학교,12,177,16
서울특별시 용산구,서울남정초등학교,22,422,26
서울특별시 중구,서울덕수초등학교,23,490,29
서울특별시 종로구,서울독립문초등학교,27,502,34
서울특별시 종로구,서울매동초등학교,16,263,20
서울특별시 종로구,서울명신초등학교,20,392,24
서울특별시 용산구,서울보광초등학교,24,344,28
서울특별시 중구,서울봉래초등학교,21,422,24
서울특별시 용산구,서울삼광초등학교,22,461,27
서울특별시 용산구,서울서빙고초등학교,22,473,27
서울특별시 종로구,서울세검정초등학교,37,864,49
서울특별시 성동구,서울숭신초등학교,36,775,42
서울특별시 용산구,서울신용산초등학교,62,1668,74
서울특별시 용산구,서울용산초등학교,15,307,20
서울특별시 용산구,서울용암초등학교,14,160,19
서울특별시 용산구,서울원효초등학교,31,668,37
서울특별시 용산구,서울이태원초등학교,18,313,22
서울특별시 중구,서울장충초등학교,25,483,33
서울특별시 종로구,서울재동초등학교,12,210,15
서울특별시 종로구,서울창신초등학교,30,541,36
서울특별시 중구,서울청구초등학교,36,720,42
서울특별시 종로구,서울청운초등학교,27,581,36
서울특별시 용산구,서울청파초등학교,24,447,29
서울특별시 중구,서울충무초등학교,15,247,19
서울특별시 용산구,서울한강초등학교,13,198,18
서울특별시 용산구,서울한남초등학교,19,307,23
서울특별시 종로구,서울혜화초등학교,30,616,34
서울특별시 종로구,서울효제초등학교,15,224,20
서울특별시 용산구,서울후암초등학교,24,388,29
서울특별시 중구,서울흥인초등학교,21,384,26
서울특별시 중구,숭의초등학교,18,581,18
서울특별시 용산구,신광초등학교,12,379,23
서울특별시 종로구,운현초등학교,6,173,14
서울특별시 양천구,서울신기초등학교,24,541,30
서울특별시 금천구,서울금동초등학교,37,957,50
서울특별시 노원구,서울덕암초등학교,28,594,33
서울특별시 관악구,서울봉현초등학교,43,942,52
서울특별시 광진구,서울광진초등학교,31,634,36
서울특별시 은평구,서울연광초등학교,17,298,23
서울특별시 구로구,서울고원초등학교,32,732,37
서울특별시 도봉구,서울가인초등학교,25,503,29
서울특별시 중랑구,서울묵현초등학교,31,629,37
